,Frame Number,Frame TimeStamp,Average Frame Temperature
0,1,0.16608285903930664,225.26291666666665
1,2,0.35020995140075684,226.49020833333333
2,3,0.5426440238952637,226.36375
3,4,0.7371749877929688,225.47729166666667
4,5,0.9283008575439453,226.07583333333332
5,6,1.1243939399719238,221.61833333333334
6,7,1.3143548965454102,220.12791666666666
7,8,1.507077932357788,217.49666666666667
8,9,1.7018349170684814,218.37770833333335
9,10,1.8923649787902832,218.21854166666665
10,11,2.0852248668670654,218.04875
11,12,2.2779359817504883,217.93166666666667
12,13,2.4725940227508545,218.77270833333333
13,14,2.663266897201538,218.53291666666667
14,15,2.8558719158172607,218.54020833333334
15,16,3.048672914505005,218.655
16,17,3.243121862411499,218.88875
17,18,3.4357669353485107,219.79229166666667
18,19,3.6268510818481445,219.11416666666668
19,20,3.819581985473633,218.33458333333334
20,21,4.012332916259766,216.45291666666665
21,22,4.2069220542907715,217.05458333333334
22,23,4.397917985916138,216.858125
23,24,4.590349912643433,217.86958333333334
24,25,4.783143997192383,217.8725
25,26,4.977495908737183,218.02270833333333
26,27,5.168452024459839,217.355
27,28,5.361203908920288,217.16125
28,29,5.55393385887146,217.380625
29,30,5.74695086479187,217.28854166666667
30,31,5.939020872116089,217.76625
31,32,6.1316869258880615,217.32916666666668
32,33,6.324416875839233,215.976875
33,34,6.517011880874634,216.361875
34,35,6.711350917816162,217.32208333333332
35,36,6.90263295173645,218.68958333333333
36,37,7.095218896865845,218.88104166666668
37,38,7.287952899932861,221.41083333333333
38,39,7.482284069061279,221.25645833333334
39,40,7.674463987350464,221.99583333333334
40,41,7.865978002548218,221.824375
41,42,8.058681011199951,224.21875
42,43,8.252326011657715,223.755625
43,44,8.446146011352539,224.10666666666665
44,45,8.63685393333435,221.98541666666668
45,46,8.829793930053711,220.50666666666666
46,47,9.022401094436646,219.47375
47,48,9.2166268825531,220.3875
48,49,9.407717943191528,220.00979166666667
49,50,9.600337982177734,220.598125
50,51,9.793000936508179,220.86104166666667
51,52,9.986001968383789,220.195
52,53,10.187072038650513,219.99645833333332
53,54,10.371319055557251,221.22145833333335
54,55,10.564010858535767,221.40979166666668
55,56,10.756797075271606,221.47375
56,57,10.951189994812012,221.08416666666668
57,58,11.141897916793823,220.57208333333332
58,59,11.334961891174316,219.60333333333332
59,60,11.52750301361084,220.43541666666667
60,61,11.721955060958862,220.83895833333332
61,62,11.913090944290161,222.02729166666666
62,63,12.105659008026123,221.69916666666666
63,64,12.298443078994751,221.19645833333334
64,65,12.491160869598389,221.25104166666668
65,66,12.685563087463379,220.029375
66,67,12.876615047454834,220.60604166666667
67,68,13.069854021072388,221.44020833333335
68,69,13.262017965316772,222.87666666666667
69,70,13.456446886062622,223.51583333333335
70,71,13.647271871566772,222.48479166666667
71,72,13.839895963668823,220.17583333333334
72,73,14.032800912857056,220.13770833333334
73,74,14.225290060043335,220.3125
74,75,14.420130014419556,218.80708333333334
75,76,14.610930919647217,218.61875
76,77,14.803632020950317,218.20625
77,78,14.996360063552856,219.361875
78,79,15.196887969970703,219.76041666666666
79,80,15.541152954101562,223.64604166666666
80,81,15.728470087051392,222.09645833333335
81,82,15.921280860900879,222.24854166666665
82,83,16.114137887954712,223.62458333333333
83,84,16.306827068328857,225.01958333333334
84,85,16.50261902809143,224.26208333333332
85,86,16.692787885665894,225.62916666666666
86,87,16.88560199737549,223.681875
87,88,17.07840394973755,184.78541666666666
88,89,17.272916078567505,184.09854166666668
89,90,17.463912963867188,180.06875
90,91,17.656638860702515,179.60708333333332
91,92,17.849124908447266,177.01520833333333
92,93,18.041900873184204,181.955
93,94,18.2359299659729,182.49708333333334
94,95,18.426851987838745,184.67458333333335
95,96,18.619510889053345,225.14916666666667
96,97,18.81233286857605,211.74041666666668
97,98,19.00495195388794,225.15208333333334
98,99,19.199586868286133,224.353125
99,100,19.390300989151,224.19979166666667
100,101,19.583148956298828,224.24604166666666
101,102,19.775754928588867,223.49354166666666
102,103,19.968520879745483,222.51395833333333
103,104,20.163039922714233,223.30229166666666
104,105,20.362658977508545,223.27708333333334
105,106,20.548508882522583,221.871875
106,107,20.7410249710083,222.28833333333333
107,108,20.93214988708496,223.0375
108,109,21.124767065048218,221.40854166666668
109,110,21.3173930644989,221.73145833333334
110,111,21.513176918029785,221.015
111,112,21.702802896499634,222.57354166666667
112,113,21.89565086364746,224.06625
113,114,22.088392972946167,224.75354166666668
114,115,22.28096604347229,225.14416666666668
